,Device,"April 20, 2026","April 21, 2026",Total Usage
Amazon,samsung SM-M066B,1m 13s,0s,1m 13s
Android System,samsung SM-M066B,9s,0s,9s
Call,samsung SM-M066B,32m 31s,0s,32m 31s
Camera,samsung SM-M066B,3m 14s,0s,3m 14s
ChatGPT,samsung SM-M066B,10m 59s,0s,10m 59s
Chrome,samsung SM-M066B,11m 21s,0s,11m 21s
Digital Wellbeing,samsung SM-M066B,0s,59s,59s
Drive,samsung SM-M066B,6m 46s,0s,6m 46s
Files,samsung SM-M066B,27s,20s,48s
Gallery,samsung SM-M066B,27s,0s,27s
Google Play services,samsung SM-M066B,0s,32s,32s
Google Play Store,samsung SM-M066B,0s,21s,21s
Instagram,samsung SM-M066B,1h 10m 45s,2m 41s,1h 13m 26s
Messages,samsung SM-M066B,14s,0s,14s
Navi,samsung SM-M066B,1m 10s,0s,1m 10s
One UI Home,samsung SM-M066B,8m 29s,1m 24s,9m 53s
Paytm,samsung SM-M066B,4m 32s,0s,4m 32s
Permission controller,samsung SM-M066B,5s,0s,5s
Phone,samsung SM-M066B,2m 30s,0s,2m 30s
PhonePe,samsung SM-M066B,1m 25s,0s,1m 25s
Photo Screensavers,samsung SM-M066B,3s,0s,3s
Photos & videos,samsung SM-M066B,3s,0s,3s
Settings,samsung SM-M066B,2s,17s,19s
Settings Suggestions,samsung SM-M066B,0s,24s,24s
Snapchat,samsung SM-M066B,3m 31s,15s,3m 46s
StayFree,samsung SM-M066B,0s,3m 17s,3m 17s
Truecaller,samsung SM-M066B,4m 35s,0s,4m 35s
Wallet,samsung SM-M066B,2s,0s,2s
WhatsApp,samsung SM-M066B,16m 55s,1m 2s,17m 58s
YouTube,samsung SM-M066B,2h 2m 11s,0s,2h 2m 11s
Total Usage,,5h 3m 48s,11m 38s,5h 15m 26s
,,,,
Created by “StayFree”.,,,,
Creation date: 4/21/26 01:19:54,,,,
